Matrix Size,Bruteforce Alg Time,Ant Alg Time
2,0.00010937699999968853,0.0010139550000000663
3,0.00026649699999992116,0.0025921720000002257
4,0.0010393310000003653,0.004920707999999552
5,0.005809500999999717,0.009093244999999917
6,0.03724171399999987,0.014755001000000045
7,0.2791225019999995,0.023626046999999706
8,2.410387499000002,0.03515083100000149
9,23.096376251000006,0.05111958299999486
10,243.90210212900016,0.06986158500046713
