16,16,0,100,16.001,0.0187803,852.008
32,32,0,100,32.0019,0.0301893,1060.04
64,64,0,100,64.0038,0.0371483,1722.93
128,127,1,99.2188,126.008,0.0723947,1740.56
256,147,109,57.4219,146.009,0.0775974,1881.62
512,129,383,25.1953,128.008,0.0734753,1742.19
1024,188,836,18.3594,186.011,0.112477,1653.78
